video_id,veh_id,frame,bb_top,bb_left,bb_height,bb_width
1,359859,1,690.11,1067.83,25.15,37.01
1,359860,1,718.55,1107.02,26.99,48.38
1,359861,1,779.38,1552.77,51.52,65.07
1,359862,1,894.51,1865.46,47.73,54.54
1,359863,1,894.51,1865.46,47.73,54.54
1,359859,2,690.27,1067.87,25.1,37.04
1,359865,2,671.96,1087.94,17.18,28.92
1,359860,2,718.45,1107.28,27.05,48.56
1,359864,2,771.2,1206.74,140.35,112.24
1,359861,2,779.53,1552.71,51.45,64.99
1,359862,2,894.61,1865.65,47.36,54.28
1,359863,2,894.61,1865.65,47.36,54.28
1,359859,3,690.57,1071.21,25.22,37.24
1,359860,3,719.65,1110.02,27.16,48.75
1,359866,3,683.7,1134.67,23.59,30.32
1,359864,3,772.93,1209.99,141.77,113.31
1,359861,3,780.94,1545.75,45.77,59.69
1,359862,3,885.48,1839.08,50.48,73.41
1,359859,4,689.1,1073.2,27.02,39.12
1,359860,4,721.49,1111.97,25.84,47.09
1,359864,4,773.08,1208.83,145.53,117.6
1,359861,4,772.56,1536.96,52,64.04
1,359862,4,881.31,1827.72,50.44,80.41
1,359859,5,688.68,1073.86,27.32,39.71
1,359860,5,721.97,1112.18,25.38,46.79
1,359864,5,773.17,1208.23,146.54,118.52
1,359861,5,776.92,1538.47,46.38,58.6
1,359862,5,880.59,1824.41,50.09,83.72
1,359860,6,722.65,1113.59,26.03,48.51
1,359866,6,686.39,1137.42,24.34,33.17
1,359864,6,772.41,1208.37,150.25,123.3
1,359861,6,775.95,1529.88,45.67,57.78
1,359862,6,881.34,1818.75,44.58,77.55
1,359868,7,700.03,1068.18,24.06,42
1,359860,7,722.34,1114.25,26.82,49.71
1,359866,7,686.61,1137.68,24.15,33.3
1,359867,7,761.17,1181.54,30.79,35.48
1,359864,7,771.11,1207.84,153.15,126.76
1,359861,7,774.67,1527.74,45.44,56.83
1,359862,7,882.36,1818.75,41.37,73.5
1,359868,8,700.33,1068.35,24.75,42.39
1,359860,8,724.04,1116.12,26.95,49.53
1,359867,8,763.34,1184.62,30.16,36.22
1,359864,8,775.08,1207.27,156.38,132.06
1,359861,8,777.85,1519.71,41.58,57.7
1,359862,8,877.33,1802.54,41.14,73.61
1,359868,9,700.51,1069.04,25.43,43.09
1,359860,9,724.98,1115.89,26.72,49.3
1,359867,9,763.84,1186.04,29.77,35.91
1,359864,9,778.24,1205.95,156.47,134.36
1,359861,9,779.53,1517.1,39.33,57.99
1,359862,9,870.57,1792.96,43.9,79.24
1,359868,10,701.39,1070.48,25.93,44.26
1,359860,10,726.61,1118.36,26.66,47.6
1,359867,10,765.69,1189.09,29.39,35.61
1,359864,10,780.99,1212.7,157.44,135.45
1,359861,10,778.49,1511.22,36.6,55.43
1,359862,10,869.26,1781.5,41.86,76.32
1,359868,11,701.29,1070.43,25.75,44.39
1,359860,11,726.92,1119.57,26.76,46.37
1,359867,11,766.31,1189.99,29.24,35.39
1,359864,11,783.48,1218.6,156.44,133.31
1,359869,11,764.25,1515.55,44.34,63.89
1,359862,11,868.96,1777.77,41.04,74.56
1,359868,12,702.58,1070.33,26.01,44.7
1,359860,12,728.08,1124.19,27.49,46.14
1,359864,12,783.66,1217.49,159.09,138.33
1,359869,12,763.57,1510.21,42.87,63.63
1,359862,12,865.3,1765.61,40.08,75.14
1,359868,13,703,1070.24,26.16,44.84
